"模板ID","Boss名称","等级","资源路径"
"7100004","瑞尔·比伯","",""
"7100008","小丑","",""
"7100013","杰森","",""
"7100014","杰森-流程图测试","","AI.rose_jason_test"
"7100021","目标筛选测试","",""
"7100022","Boss破防不锁","",""
"7100023","Boss破防锁定","",""
"7100037","皮特","30","AI.Campaign.Campaign_156.Campaign_156_Peter_0317"
"7100058","绯红意志","1","AI.TiengenLake_Moon.Moon"
"7100062","胡德·欧根","","AI.Huxuemao_AI.Boss_MonsterVisionary"
"7100065","失控的窥探者","40","AI.Campaign.Campaign_2301.Monster_OFC_Featherwit"
"7100101","皮特","30","AI.Campaign.Campaign_1511.Campaign_1511_Treeman_0317"
"7100201","安西娅","94","AI.WYZY.YHXT_02"
"7100202","巴尼先生","94","AI.WYZY.YHXT_01"
"7100203","安西娅","94","AI.WYZY.YHXT_03"
"7100208","安西娅","69","AI.WYZY.YHXT_Easy_02"
"7100209","巴尼先生","69","AI.WYZY.YHXT_Easy_01"
"7100210","安西娅","69","AI.WYZY.YHXT_Easy_03"
"7100215","子嗣守护","69","AI.WYZY.Boss_XSRQ.Boss_XSRQ_01"
"7100301","厄水巨龟","91","AI.FB_JQH.BOSS1_WuGui.Hero_WuGui"
"7100341","舞王狒哥","91","AI.FB_JQH.BOSS2_Monkey.Hero_JQHMonkey"
"7100361","舞王狒哥","61","AI.GaoYang_AI.Test.QiangFanTestMonkey"
"7100371","西尔维娅","93","AI.FB_JQH.BOSS3_Durid.Boss_Durid_02"
"7100382","西尔维娅-调试怪","61","AI.FB_JQH.BOSS3_Durid.DN"
"7100401","厄水巨龟","72","AI.FB_JQH.BOSS1_WuGui.PuTong_WuGui"
"7100441","舞王狒哥","72","AI.FB_JQH.BOSS2_Monkey.PT_JQHMonkey"
"7100471","西尔维娅","74","AI.FB_JQH.BOSS3_Durid.Boss_Durid_01"
"7100472","西尔维娅","50","AI.FB_JQH.BOSS3_Durid2.Durid_test"
"7100625","战争巨龙","","AI.LiuYang_AI.GVG.Gragon_GVG"
"7100628","战争巨龙","","AI.LiuYang_AI.GVG.GVG_TXZZ"
"7100632","伤害木桩","71",""
"7101004","伤害木桩","100",""
"7101005","QA助手5","25",""
"7101007","木木广土（免控）","30",""
"7101008","45级，属性类玩家无抵御血超多，免疫位移","45",""
"7101009","木木广土(30级boss）","30",""
"7101010","19级6人本Boss普通","19",""
"7101011","40级6人本Boss普通","40",""
"7101012","47级6人本Boss普通","47",""
"7101013","52级6人本Boss普通","52",""
"7101014","53级6人本Boss普通","53",""
"7101015","57级6人本Boss普通","57",""
"7101016","62级12人本Boss普通","62",""
"7101017","战场木桩怪","99",""
"7101018","战场小丑","",""
"7101021","绯红意志","60",""
"7101024","邪影凋灵","1",""
"7101025","伤害木桩(免疫位移）","100",""
"7101026","周本-瑞尔比伯","39",""
"7101027","英雄周本-瑞尔比伯","45",""
"7101028","团本-BOSS","45",""
"7101029","伤害木桩(匀速移动）","100","AI.Wangnianrui_AI.RunningMonster1"
"7101030","伤害木桩(闪避移动）","100","AI.Wangnianrui_AI.ShiftMonster1"
"7101045","布娃娃死亡测试","1",""
"7101046","39级6人本Boss普通","39",""
"7101047","46级6人本Boss普通","46",""
"7101048","56级6人本Boss普通","56",""
"7101049","60级6人本Boss普通","60",""
"7101050","61级6人本Boss困难","61",""
"7101051","63级6人本Boss困难","63",""
"7101052","66级6人本Boss困难","66",""
"7101053","68级6人本Boss困难","68",""
"7101054","68级6人本Boss困难","72",""
"7102010","泰尔","",""
"7102011","史蒂夫","",""
"7102030","瑞尔·比伯","60",""
"7102033","绯红意志","12",""
"7102034","阿蒙","",""
"7102037","阿蒙","5",""
"7102046","瑞尔·比伯","",""
"7102047","小丑","",""
"7102048","小丑","",""
"7102050","“奇迹师”梅林","39","AI.SchoolMentor.SM_Merlin"
"7102051","“太阳”先生","39","AI.SchoolMentor.SM_Sun"
"7102052","“织梦人”奥黛丽","39",""
"7102053","“审判”女士","39","AI.SchoolMentor.SM_Xiu"
"7102059","阿蒙","5",""
"7102063","绯红意志","",""
"7102064","“奇迹师”梅林","35",""
"7102065","“无暗者”戴里克","35",""
"7102066","“织梦人”奥黛丽","35",""
"7102067","“律令师”休","35",""
"7102096","绯红意志","60",""
"7102101","雪伦夫人","",""
"7102106","狼人泰尔","",""
"7102167","鹿角亡灵巨人","","AI.FantasticMonsterAI.Deertita"
"7102168","四手树妖","","AI.FantasticMonsterAI.FourArmTree"
"7102169","熊女","",""
"7102170","磐石骑士","","AI.FantasticMonsterAI.Knight_Monolith"
"7102171","冰霜舞姬","",""
"7102172","禁忌学者","","AI.FantasticMonsterAI.ScholarTaboo"
"7102173","三眼乌鸦","","AI.FantasticMonsterAI.EyesRaven"
"7102174","嗜龙君王","","AI.FantasticMonsterAI.DragonGovernor"
"7102175","怠惰","","AI.FantasticMonsterAI.Laziness"
"7102176","契魂三兄弟A","","AI.FantasticMonsterAI.ArmouredGiant1"
"7102177","契魂三兄弟B","","AI.FantasticMonsterAI.ArmouredGiant2"
"7102178","契魂三兄弟C","","AI.FantasticMonsterAI.ArmouredGiant3"
"7102179","冰霜巨龙","",""
"7102180","血乌鸦","","AI.FantasticMonsterAI.Raven_Chief"
"7102181","寒霜之子","","AI.FantasticMonsterAI.FrostHuman"
"7102182","不死乌鸦","","AI.FantasticMonsterAI.Undead_Raven"
"7102183","锋刃乌鸦","","AI.FantasticMonsterAI.Raven_Blade"
"7102184","精英鳐鱼","","AI.FantasticMonsterAI.Rayfish_Elite"
"7102185","变异乌鸦","",""
"7102186","乌鸦","",""
"7102187","花妖A","",""
"7102188","花妖B","",""
"7102189","龙骑士","",""
"7102190","胆小宝箱","",""
"7102201","龙骑士","",""
"7102211","凯瑟琳","","AI.FantasticMonsterAI.Catherine"
"7102250","第一根系","5",""
"7102251","第二根系","5",""
"7102252","第三根系","5",""
"7102253","第四根系","5",""
"7102300","被污染的赛琳娜","40","AI.Wangkuijia.YiHuaSaiLinNa"
"7102310","海纳斯","40","AI.MengXiaoYang.Hainas"
"7102320","特莉丝","62","AI.ChenYang_AI.Story.TelisiBattle.Telisi_01"
"7102321","特莉丝","62","AI.ChenYang_AI.Story.TelisiBattle.Telisi_02"
"7102328","特莉丝","62","AI.DongZhi_AI.Task.Monster_Telisi"
"7102400","星象仪者","93","AI.WYZY.Chamberlain"
"7102403","星象仪者","62","AI.WYZY.Chamberlain_easy"
"7102803","简单AI测试Boss","12",""
"7102808","友好boss","12",""
"7102834","瑞尔·比伯","52","AI.RBRaid.Boss_RayBiber"
"7102835","小丑","52",""
"7102873","小丑","52","AI.RBRaid.RBRaid_BossJoker"
"7102875","技能测试工具人","52",""
"7102892","纸人替身-保护","52","AI.RBRaid.RBRaid_JokerShadowProtect"
"7102893","纸人替身-保护","52","AI.RBRaid.RBRaid_JokerShadowProtect"
"7102894","纸人替身-保护","52","AI.RBRaid.RBRaid_JokerShadowProtect"
"7102895","纸人替身-保护","52","AI.RBRaid.RBRaid_JokerShadowProtect"
"7102896","纸人替身-保护","52","AI.RBRaid.RBRaid_JokerShadowProtect"
"7102932","子爵夫人","88","AI.WYZY.ZJFR"
"7102936","子爵夫人-神话姿态","88","AI.WYZY.ZJFR_Stage2"
"7102938","子嗣守护","86","AI.WYZY.Boss_XSRQ.Boss_XSRQ_02"
"7102939","管家","39","AI.WYZY.Monster_NanPu_01"
"7102940","猎犬","62","AI.Autumn_Island.Autumn_Island_juxingadai"
"7102990","子爵夫人","72","AI.WYZY.ZJFR_PT"
"7102991","子爵夫人-神话姿态","72","AI.WYZY.ZJFR_Stage2_PT"
"7103001","瑞尔·比伯","91","AI.RBRaid.Hero.Hero_Boss_RayBiber"
"7103008","小丑","91",""
"7103012","小丑","91","AI.RBRaid.Hero.Hero_RBRaid_BossJoker"
"7103014","技能测试工具人","91",""
"7103024","纸人替身-保护","91","AI.RBRaid.Hero.Hero_RBRaid_JokerShadowProtect"
"7103025","纸人替身-保护","91","AI.RBRaid.Hero.Hero_RBRaid_JokerShadowProtect2"
"7103026","纸人替身-保护","91","AI.RBRaid.Hero.Hero_RBRaid_JokerShadowProtect"
"7103027","纸人替身-保护","91","AI.RBRaid.Hero.Hero_RBRaid_JokerShadowProtect"
"7103028","纸人替身-保护","91","AI.RBRaid.Hero.Hero_RBRaid_JokerShadowProtect"
"7103033","开心的分身","91","AI.RBRaid.Hero.Hero_RBRaid_JokerChallenge_Jump"
"7103034","悲伤的分身","91","AI.RBRaid.Hero.Hero_RBRaid_JokerChallenge_Walk"
"7103206","伯德温·威瑟尔","93","AI.WYZY.XZQS"
"7103210","先祖铠甲","93","AI.WYZY.XZQS_Stage1"
"7103231","卢娜","39","AI.XiaTianLe_AI.MonsterTemplate"
"7103232","管家","39","AI.XiaTianLe_AI.Wonders.Tiengen.Butler.ButlerMain"
"7103233","蜘蛛恶灵","39","AI.XiaTianLe_AI.Wonders.Tiengen.Butler.FleaySpider"
"7103235","弗莱","33","AI.XiaTianLe_AI.Wonders.Tiengen.Butler.FleayMain"
"7103236","温妮","33","AI.XiaTianLe_AI.Wonders.Tiengen.Butler.JeaneMain"
"7103255","卢娜","40","AI.XiaTianLe_AI.Wonders.Tiengen.Monv.Luna.LunaMain"
"7103285","风车","50",""
"7103290","金狼信徒","40","AI.XiaTianLe_AI.Crime.Crime_Gate.Gate"
"7103292","灾祸之门","40",""
"7103301","瑞尔比伯","40","AI.RBRaid.QuestSingle.QuestSingle_RayBiber"
"7103309","小丑","40","AI.RBRaid.QuestSingle.QuestSingle_Joker"
"7103312","小丑分身","40",""
"7103315","纸人替身-保护","40","AI.RBRaid.Single.Single_JokerShadowProtect"
"7103401","伯德温·威瑟尔","62","AI.WYZY.XZQS_Easy.XZQS_Stage2_Easy"
"7103402","先祖铠甲","62","AI.WYZY.XZQS_Easy.XZQS_Stage1_Easy"
"7104101","斯卡纳女士","39","AI.SideTask.StoryBeforeSleep.LaddySKN"
"7104200","尤朵拉","40","AI.SideTask.DreamComeTrue.Boss_Eudora"
"7104500","月之污染","4","AI.TiengenLake_Moon.FHYZ"
"7104509","异化信徒","13","AI.zhanghongxun_AI.BigArm_zhx"
"7104520","“头狼”鲁珀","40","AI.MainStory_Reality.Chapter4.WolfMan"
"7104521","“头狼”鲁珀","40","AI.MainStory_Reality.Chapter4.WolfMan"
"7104654","神","50",""
"7104800","奥黛丽·霍尔","39","AI.TaLuoSchool.Boss_Audrey_H"
"7104820","佛尔思","39","AI.TaLuoSchool.Boss_Fors_H"
"7104851","奥黛丽·霍尔","39","AI.TaLuoSchool.Boss_Audrey_H"
"7104871","佛尔思","39","AI.TaLuoSchool.Boss_Fors.Fors_H"
"7104921","奥黛丽·霍尔","39","AI.TaLuoSchool.Boss_Audrey_H"
"7105001","赌徒","45","AI.DongZhi_AI.Plane_AI"
"7105103","失控窥秘人","1","AI.SideTask.LightDawn.Peeker"
"7105501","浮空城防御塔","30",""
"7105502","咒缚魔女-调试怪","35","AI.FKC.fkc_test06"
"7105503","痛苦魔女","","AI.FKC.Megose_0129"
"7105512","守护之龙","","AI.WorldBoss.FuKongCheng.WorldBoss_Dragon"
"7105529","斯蒂姆之心","","AI.WorldBoss.FuKongCheng.WorldBoss__Tower"
"7105900","苹果骑士","50","AI.FairyTale.AppleKinght.Boss_AppleKnight_Hero"
"7105930","青蛙王子","50","AI.FairyTale.CinderellaAndPrince.PrinceFrog"
"7105931","灰姑娘","50","AI.FairyTale.CinderellaAndPrince.Cinderella"
"7105961","狼外婆","50","AI.FairyTale.BOSS_WereWolfGrandma.WereWolfGrandma"
"7106000","报幕员","39",""
"7106004","卷毛狒狒","57","AI.Zhouhaitao_AI.FeiFeiAI"
"7106050","小怪木桩","30",""
"7106051","未知存在","39","AI.DID.DIDwanderTest"
"7106052","未知存在","39","AI.DID.PraiserSinger.DIDCommon_GSZ"
"7106053","未知存在","39","AI.DID.Spectator.DIDCommon_ZSNEW"
"7106054","未知存在","39","AI.DID.Spectator.DIDCommon_ZSNEW"
"7106055","未知存在","39","AI.DID.Apprentice.DIDCommon_XT"
"7106056","未知存在","39","AI.DID.Apprentice.DIDCommon_XT"
"7106062","未知存在","39","AI.DID.Audience.DIDCommon_GZ"
"7106063","未知存在","39","AI.DID.Seer.DIDCommon_ZBJ"
"7106064","未知存在","39","AI.DID.Seer.DIDCommon_ZBJ"
"7106065","未知存在","39","AI.DID.MysteryPryer.DIDCommon_KMR"
"7106067","未知存在","39","AI.DID.PraiserSinger.DIDCommon_GSZ"
"7106068","未知存在","39","AI.DID.Audience.DIDCommon_GZ"
"7106069","未知存在","39","AI.DID.MysteryPryer.DIDCommon_KMR"
"7106080","“大棕熊”","46","AI.MainStory_Reality.Chapter3.Monster_BoxingMan"
"7106099","未知存在","20","AI.DongZhi_AI.SecondPersonality.PraiseSinger"
"7106130","子爵夫人","60","AI.MainStory_Reality.Chapter5.ZJFR"
"7106131","绝望魔镜","60","AI.MainStory_Reality.Chapter5.BossMirror"
"7107014","失控窥秘人","",""
"7107032","19级6人本BOSS普通","19",""
"7107033","39级6人本BOSS普通","39",""
"7107034","40级6人本BOSS普通","40",""
"7107035","46级6人本BOSS普通","46",""
"7107036","47级6人本BOSS普通","47",""
"7107037","52级6人本BOSS普通","52",""
"7107038","53级6人本BOSS普通","53",""
"7107039","56级6人本BOSS普通","56",""
"7107045","57级6人本BOSS普通","57",""
"7107046","60级6人本BOSS普通","60",""
"7107047","61级6人本BOSS普通","61",""
"7107048","62级12人本BOSS普通","62",""
"7107049","63级6人本BOSS普通","63",""
"7107050","69级12人本BOSS普通","69",""
"7107051","66级6人本BOSS普通","66",""
"7107052","68级6人本BOSS普通","68",""
"7107053","72级12人本BOSS普通","72",""
"7107054","74级6人本BOSS普通","74",""
"7107055","76级6人本BOSS普通","76",""
"7107056","78级12人本BOSS普通","78",""
"7107057","82级12人本BOSS普通","82",""
"7107058","84级12人本BOSS普通","84",""
"7107071","20级6人本Boss普通","20",""
"7107072","35级6人本Boss普通","35",""
"7107073","44级6人本Boss普通","44",""
"7107074","46级12人本Boss普通","46",""
"7107075","50级6人本Boss普通","50",""
"7107076","53级12人本Boss普通","53",""
"7107077","57级6人本Boss困难","57",""
"7107078","60级12人本Boss困难","60",""
"7107079","61级6人本Boss困难","61",""
"7107080","61级12人本Boss困难","61",""
"7107081","卡尔·埃德加","","AI.BlackThornCase.Dungeon5100004.Levelfinal.Boss_OfcPeeker"
"7107084","40级6人本Boss普通","40",""
"7107085","62级12人本Boss困难","62",""
"7107087","90级6人本BOSS普通","90",""
"7107088","91级6人本BOSS困难","91",""
"7107089","93级12人本BOSS困难","93",""
"7107090","94级12人本BOSS困难","94",""
"7107091","95级12人本BOSS困难","95",""
"7107092","96级6人本BOSS困难","96",""
"7107093","97级12人本BOSS困难","97",""
"7107094","98级12人本BOSS困难","98",""
"7107095","99级12人本BOSS困难","99",""
"7107096","39世界BOSS普通10%生命","39",""
"7107097","52世界BOSS普通10%生命","52",""
"7107098","60世界BOSS普通10%生命","60",""
"7107099","62世界BOSS普通10%生命","62",""
"7107105","朗伯·绞索","","AI.BlackThornCase.Dungeon5100002.LevelMap5200191.Boss_Langbo"
"7107300","史蒂夫","","AI.BlackThornCase.Dungeon5100005.Level2.BOSS"
"7107318","巨大岩石","",""
"7107350","巨型尸骸","","AI.BlackThornCase.Dungeon5100005.Level3.Monster_Troll_War"
"7107351","巨型尸骸","",""
"7107352","亚巴顿","","AI.BlackThornCase.Dungeon5100005.Level3.Monster_Steven_01"
"7107450","亚巴顿","","AI.BlackThornCase.Dungeon5100005.Level5.Boss_Steven"
"7108001","人性","44","AI.AmonBoss.Hero.Amon_Human"
"7108002","错误","44","AI.AmonBoss.Hero.Amon_Bug"
"7108003","欲望母神","44","AI.AmonBoss.Hero.Amon_Mon"
"7108005","阿蒙分身","44",""
"7108099","阿蒙单BOSS团本史诗难度ID段末尾","44","AI.RBRaid.Boss_RayBiber"
"7108100","咕噜","46","AI.DarkWildness.Boss_Goulu_Normal"
"7108150","阿蒙分身","46","AI.DarkWildness.Boss_Amon_Normal"
"7108200","乌黯魔狼","46","AI.DarkWildness.Normal.Boss_Cotard_Normal"
"7108250","梅迪奇残影","53","AI.GiantKing.Boss_Medici_Normal"
"7108251","奥赛库斯残影","53","AI.GiantKing.Boss_Osecus_Normal"
"7108252","乌洛琉斯残影","53","AI.GiantKing.Boss_Ulorus_Normal"
"7108300","米尔贡根","53","AI.GiantKing.Boss_Milgongen_Stage1_Normal"
"7108301","米尔贡根","53","AI.GiantKing.Boss_Milgongen_Stage2_Normal"
"7108350","萨斯利尔","53","AI.GiantKing.Normal.Boss_Sasriel_Normal"
"7109003","梅高欧丝","",""
"7109004","瑞尔·比伯（精英）","45",""
"7109005","小丑（精英）","45",""
"7109007","泰尔（精英）","45",""
"7109008","杰森（精英）","45",""
"7109009","史蒂夫（精英）","45",""
"7109100","咕噜","60","AI.DarkWildness.Boss_Goulu"
"7109200","阿蒙分身","60","AI.DarkWildness.Boss_Amon_Hero"
"7109400","梅迪奇残影","62","AI.GiantKing.Boss_Medici_SkillTest"
"7109401","奥赛库斯残影","62","AI.GiantKing.Boss_Osecus_SkillTest"
"7109402","乌洛琉斯残影","62","AI.GiantKing.Boss_Ulorus_SkillTest"
"7109500","米尔贡根","62","AI.GiantKing.Boss_Milgongen_Stage1"
"7109501","米尔贡根","62","AI.GiantKing.Boss_Milgongen_Stage2"
"7109600","萨斯利尔","62","AI.GiantKing.Boss_Sasriel"
"7109606","未解析名称","99",""
"7109801","异化猎犬","93","AI.WYZY.LieQuan_HardDifficuty"
"7109821","异化猎犬","62","AI.WYZY.LieQuan_EasyDifficuty"
"7109900","乌黯魔狼","60","AI.DarkWildness.Boss_CotardNew"
"7110200","罗塞尔的残留意志","98","AI.RossellBossRaid.Boss_Rossell"
"7110208","罗塞尔的残留意志","98","AI.RossellBossRaid.Boss_RossellRage"
"7110581","洛克·金","","AI.BlackThornCase.Dungeon5100006.LevelMap5200206.FatMan_Boss"
"7110641","洛克·金·失控","","AI.BlackThornCase.Dungeon5100006.LevelMap5200208.BossAiPoSiTanX"
"7110642","洛克·金","","AI.BlackThornCase.Dungeon5100006.LevelMap5200208.BossAiPoSiTanHumanPer"
"7110700","猎犬","52","AI.MainStory_Reality.Chapter4.Dog"
"7110704","风信子","46","AI.MainStory_Reality.Chapter3.Boss_FXZ"
"7110706","狼人","52","AI.Pengshaolin_AI.WolfMan_ch4"
"7110707","巨龙","62","AI.DongZhi_AI.Task.Monster_Dragon"
"7110708","""宠物""","46","AI.MainStory_Reality.Chapter3.Monster_BigArm"
"7110710","马洛","63","AI.DongZhi_AI.Task.Monster_Maluo"
"7110800","失控猎人","20",""
"7110801","“审判官”布莱克","40","AI.GTABoss.BossCleric.BossClericNew"
"7110803","玩家灵魂","20","AI.GTABoss.BossCleric.JIZHIGhost"
"7110804","“审判官”布莱克","40","AI.GTABoss.BossCleric.BossClericFirst"
"7110805","“审判官”布莱克","40","AI.GTABoss.BossCleric.BossClericNew"
"7110810","“钻头”","40","AI.GTABoss.BOSS_Mecha.BOSS_Mecha"
"7110817","“钻头”","40","AI.GTABoss.BOSS_Mecha.BOSS_Mecha"
"7110820","""剥面人"" 强尼","40","AI.GTABoss.BossKiller.Killer"
"7110825","""剥面人"" 强尼","40","AI.GTABoss.BossKiller.Killer"
"7111001","邦尼","61","AI.GTABoss.BOSS_WuNv.WuNv"
"7114191","亵渎魔女","","AI.UtopiaTheatre.Boss_XieDuMoNv"
"7114223","伤害木桩","52",""
"7114225","伤害木桩","62",""
"7114227","伤害木桩","52",""
"7114233","伤害木桩","62",""
"7114301","托马斯","40","AI.MengXiaoYang.Thomas"
"7114302","托马斯","40","AI.MengXiaoYang.Thomas"
"7114304","大骷髅","40",""
"7115020","""剥面人"" 强尼","61","AI.FB_MemoryBoss.Boss_QiangNi.Boss_QiangNi"
"7115026","""剥面人"" 强尼","39","AI.FB_MemoryBoss.Boss_QiangNi.Normal.Boss_QiangNi_Normal"
"7115040","战争巨龙","68","AI.FB_MemoryBoss.Boss_Rathalos.Boss_Rathalos"
"7115041","战争巨龙","60","AI.FB_MemoryBoss.Boss_Rathalos.Boss_Rathalos_easy"
"7115042","战争巨龙","74","AI.FB_MemoryBoss.Boss_Rathalos.Boss_Rathalos_Hell"
"7115060","邦尼","66","AI.FB_MemoryBoss.Boss_WuNv.Memory_WuNv"
"7115075","邦尼","56","AI.FB_MemoryBoss.Boss_WuNv.Memory_WuNv_PT"
"7115080","“钻头”","63","AI.FB_MemoryBoss.Boss_ZhuanTou.BOSS_ZhuanTou_Hard"
"7115090","“钻头”","46","AI.FB_MemoryBoss.Boss_ZhuanTou.Boss_ZhuanTou_Easy.BOSS_ZhuanTou_Easy"
"7115300","邦尼","40","AI.GTABoss.BOSS_BangNi.BangNi"
"7115310","邦尼","","AI.GTABoss.BOSS_BangNi.BangNiP2"
